food_name,calories,food_type,price,food_breakfast,restaurant_id
豬肉滿福堡加蛋,400,main,80,Y,1
鮮蔬火腿蛋堡,360,main,80,Y,1
豬肉滿福堡,330,main,80,Y,1
現烤焙果（含乳酪）,320,main,80,Y,1
滿福鮮蔬堡,310,main,80,Y,1
火腿蛋堡,310,main,80,Y,1
雙層四盎司牛肉堡,800,main,80,N,1
勁辣雞腿堡,560,main,80,N,1
四盎司牛肉堡,540,main,80,N,1
大麥克,530,main,80,N,1
麥克雞塊9塊,530,main,80,N,1
雙層牛肉吉士堡,450,main,80,N,1
麥克雙牛堡,410,main,80,N,1
麥香雞,380,main,80,N,1
麥克雞塊6塊,350,main,80,N,1
麥脆（辣）雞排,340,main,80,N,1
麥脆（原）雞排,330,main,80,N,1
麥香魚,320,main,80,N,1
吉事漢堡,310,main,80,N,1
板烤雞腿堡,300,main,80,N,1
漢堡麥脆雞腿,180,main,80,N,1
小薯,240,side,30,N,1
蘋果派,230,side,30,N,1
薯餅,160,side,30,N,1
蛋捲冰淇淋,140,side,20,N,1
四季水果袋（蘋果片）,30,side,45,N,1
四季沙拉,20,side,45,N,1
玉米湯（小）,100,side,45,Y,1
玉米湯（大）,150,side,50,Y,1
卡啦脆雞(棒腿),236,main,79,N,2
上校薄脆雞(棒腿),192,main,79,N,2
美式BBQ醬烤煙燻雞(大腿),228,main,79,N,2
墨西哥莎莎霸王捲,456,main,79,N,2
紐奧良烤雞腿堡,411,main,79,N,2
花生熔岩卡啦雞腿堡,716,main,79,N,2
卡啦雞腿堡,445,main,79,N,2
上校雞塊(4),197,main,79,N,2
上校雞塊(8),393,main,79,N,2
義式香草紙包雞,386,main,79,N,2
上校薄皮嫩雞(棒腿),167,main,79,N,2
上校經典脆雞堡,386,main,79,N,2
巴黎卡菲嫩雞卷,570,main,79,N,2
韓式炸雞,808,main,200,N,3
辣炒年糕,803,main,150,N,3
石鍋拌飯,730,main,160,N,3
韓國烤肉,457,main,200,N,3
人參雞,559,main,200,N,3
韓式炸醬麵,750,main,150,N,3
韓式豆腐鍋 ,420,main,160,N,3
韓式部隊鍋,1000,main,250,N,3
明太子透抽義大利麵,340,main,99,N,8
白酒蛤蜊義大利麵,510,main,99,N,8
墨魚義大利麵,535,main,99,N,8
西西里肉醬千層麵,540,main,99,N,8
煙燻鴨胸義大利麵,565,main,99,N,8
番茄蝦仁義大利麵,610,main,99,N,8
羅勒透抽義大利麵,685,main,99,N,8
辣味雞肉蕃茄義大利麵,695,main,99,N,8
海鮮焗烤斜管麵,705,main,99,N,8
南瓜培根燉飯,710,main,99,N,8
奶油鮭魚鮮蝦扁麵,715,main,99,N,8
香腸肉醬焗烤斜管麵,770,main,99,N,8
奶油培根義大利麵,795,main,99,N,8
西西里海鮮焗飯,825,main,99,N,8
焗烤奶油鮪魚義大利麵,850,main,99,N,8
海膽（一貫）,40,main,40,N,4
紅蝦（一貫）,46,main,40,N,4
竹莢魚（一貫）,54,main,40,N,4
熟成鮪魚中肚（一貫）,65,main,40,N,4
赤貝,68,main,40,N,4
蛾螺,69,main,40,N,4
槍烏賊,73,main,40,N,4
鮮蝦,74,main,40,N,4
紫蘇北魷,75,main,40,N,4
真章魚,76,main,40,N,4
甜蝦,77,main,40,N,4
生鮮蝦,78,main,40,N,4
鰈魚西京漬,79,main,40,N,4
大份帆立貝壽司,80,main,40,N,4
長鰭鮪魚肚,82,main,40,N,4
竹莢魚（兩貫）,85,main,40,N,4
究極熟成醃漬鮪魚,85,main,40,N,4
蟹黃,86,main,40,N,4
究極熟成鮪魚,88,main,40,N,4
海膽海鮮軍艦,89,main,40,N,4
鱈魚白子柚醋凍,89,main,40,N,4
柚子鹽炙烤鰹魚,89,main,40,N,4
飛魚卵,90,main,40,N,4
鮭魚,93,main,40,N,4
調味鮭魚卵,94,main,40,N,4
星鰻,94,main,40,N,4
魚鰭邊肉,94,main,40,N,4
炙烤起司鮮蝦,97,main,40,N,4
酪梨鮮蝦,99,main,40,N,4
美味醬汁牛五花,109,main,40,N,4
炸蝦天婦羅手卷（一貫）,113,main,40,N,4
玉子燒,114,main,40,N,4
生拌甜蝦,115,main,40,N,4
伊比利亞豬大肚,115,main,40,N,4
蔥花鮪魚,115,main,40,N,4
鮭魚握壽司,94,main,30,N,5
鮪魚握壽司,79,main,30,N,5
旗魚握壽司,83,main,30,N,5
鯛魚握壽司,90,main,30,N,5
北魷握壽司,72,main,30,N,5
烤鮭魚肚握壽司,126,main,30,N,5
黃金鮭魚握壽司,92,main,30,N,5
鮮蝦握壽司,72,main,30,N,5
北寄貝握壽司,82,main,30,N,5
竹筴魚握壽司,75,main,30,N,5
醋烤鯖魚握壽司,118,main,30,N,5
叉燒豚握壽司,150,main,30,N,5
扇貝握壽司,62,main,30,N,5
蟹風味棒握壽司,82,main,30,N,5
蒲燒星鰻握壽司,71,main,30,N,5
玉子燒握壽司,134,main,30,N,5
章魚握壽司,65,main,30,N,5
鮭魚子,94,main,30,N,5
海膽,69,main,30,N,5
鮪魚沙拉,160,main,30,N,5
山葵風味章魚,78,main,30,N,5
小龍蝦沙拉,122,main,30,N,5
玉米,150,main,30,N,5
蝦味魚卵,76,main,30,N,5
鮭魚,100,main,30,N,5
鮪魚,45,main,30,N,5
旗魚,48,main,30,N,5
鯛魚,47,main,30,N,5
花壽司,133,main,30,N,5
黃瓜細卷,118,main,30,N,5
旗魚鬆細卷,162,main,30,N,5
鮮蝦手卷,39,main,30,N,5
蒲燒星鰻手卷,88,main,30,N,5
蘆筍手捲,35,main,30,N,5
稻荷壽司,155,main,30,N,5
堅果稻荷,350,main,30,N,5
草莓奶酪,146,side,30,N,5
黑糖奶酪,146,side,30,N,5
芒果布丁,95,side,30,N,5
雞肉飯,382,main,30,N,7
魯肉飯,434,main,30,N,7
白飯,289,main,30,N,7
雞魯飯,454,main,30,N,7
水耕A菜,117,side,30,N,7
時令蔬菜,117,side,30,N,7
筍絲魯,208,side,30,N,7
白菜魯,74,side,30,N,7
原盅香菇剝皮辣椒雞湯,275,side,60,N,7
原盅苦瓜排骨湯,131,side,60,N,7
原盅四神湯,245,side,60,N,7
玉米濃湯,156,side,60,N,7
貢丸湯,146,side,60,N,7
菜頭湯,48,side,60,N,7
蔥燒牛肉飯,670,main,99,N,6
牛腩燴飯,680,main,99,N,6
咖哩雞飯,688,main,99,N,6
炸雞腿飯,810,main,99,N,6
炸排骨便當,925,main,99,N,6
豬腳飯,815,main,99,N,6
紅燒排骨便當,805,main,99,N,6
控肉飯,935,main,99,N,6
三寶飯,960,main,99,N,6
三鮮燴飯,513,main,99,N,6
滑蛋肉片燴飯,513,main,99,N,6
蝦仁蛋炒飯,703,main,99,N,6
肉絲蛋炒飯,718,main,99,N,6
燒烤鮭魚飯,600,main,99,N,6
蒲鰻魚便當,654,main,99,N,6
嫩切雞肉,207,main,105,N,9
照燒雞肉,257,main,105,N,9
鮮嫩雞柳,229,main,105,N,9
香烤雞肉,232,main,105,N,9
火腿,221,main,105,N,9
義大利牛肉丸,255,main,105,N,9
燒烤牛肉,224,main,105,N,9
墨西哥辣牛,211,main,105,N,9
義大利經典,229,main,105,N,9
百味俱樂部,226,main,105,N,9
哈燒起司總匯,211,main,105,N,9
火雞胸肉,207,main,105,N,9
火雞火腿,221,main,105,N,9
鮪魚,239,main,105,N,9
活力鮮蝦,186,main,105,N,9
酪梨鮮蝦,221,main,105,N,9
蛋沙拉,225,main,105,N,9
素食蔬菜,165,main,105,N,9
厚切嫩牛,236,main,105,N,9
鷹嘴豆泥餅,240,main,105,N,9
安格斯牛,238,main,105,N,9
辣拌嫩雞,255,main,105,N,9
6吋秘醬烤雞腿堡,244,main,105,N,9
6吋秘醬烤雞腿堡(3片增量版),284,main,105,N,9
6吋秘醬烤雞腿堡(加量培根版),254,main,105,N,9
南洋叻沙棒腿餐盒,549,main,130,N,10
青花椒雞腿排餐盒,514,main,130,N,10
黑胡椒嫩煎雞胸餐盒,448,main,130,N,10
義式蒜香雞胸餐盒,448,main,130,N,10
照燒風味雞餐盒,482,main,130,N,10
孜然薑黃雞胸餐盒,474,main,130,N,10
義式蒜香豬小里肌餐盒,468,main,130,N,10
精燉低脂牛腱餐盒,447,main,130,N,10
牛雞雙重奏餐盒,552,main,130,N,10
新鮮蔬食菜飯,354,main,130,N,10
辰園握便當-玫瑰油雞,351,main,39,A,12
晶華-剝皮辣椒雞米飽,260,main,39,A,12
鮭魚五穀飯飯糰,165,main,39,A,12
新極上飯糰-御選蒲燒鰻,215,main,39,A,12
吳留手-明太子鮭魚烤飯糰,186,main,39,A,12
一風堂-唐揚雞烤飯糰,229,main,39,A,12
泰式打拋雞飯糰,210,main,39,A,12
乾杯炭火燒肉烤飯糰,202,main,39,A,12
培根玉米蛋飯糰,228,main,39,A,12
燻雞飯糰,200,main,39,A,12
蝦仁蛋鬆拌飯飯糰(圓),179,main,39,A,12
石安牧場溏心蛋筍飯飯糰(圓),167,main,39,A,12
炙燒雪花牛飯糰,212,main,39,A,12
哇沙米鮭魚飯糰,212,main,39,A,12
雙蔬鮪魚飯糰,209,main,39,A,12
御選肉鬆飯糰,213,main,39,A,12
魚卵小龍蝦沙拉飯糰,211,main,39,A,12
雞肉飯飯糰,206,main,39,A,12
經典肉鬆飯糰,268,main,39,A,11
鮪魚飯糰,216,main,39,A,11
明太子龍蝦風味沙拉飯糰,211,main,39,A,11
鮭魚鮭魚卵飯糰,203,main,39,A,11
大飯糰銀鮭蒸蛋白,198,main,39,A,11
壽喜燒牛五花飯糰,196,main,39,A,11
江原道雪蟹蟹膏飯糰,193,main,39,A,11
蠔油鮑菇脆筍飯糰,172,main,39,A,11
紅鮭飯糰,171,main,39,A,11
鹽蔥鯖魚飯糰,171,main,39,A,11
沙茶魷魚飯糰,169,main,39,A,11
塔香海瓜子飯糰,151,main,39,A,11
