restaurant_name,breakfast,restaurant_type,address,latitude,longitude,Unnamed: 6
麥當勞,Y,速食,台北市中正區北平西路3號1樓,25.0475139,121.5142621,
肯德基,N,速食,台北市大同區承德路一段38號,25.0508789,121.514515,
韓鶴亭,N,韓式,台北市大安區敦化南路一段160巷34號,25.0434766,121.5451409, 
藏壽司,N,日式,台北市中正區館前路12號5樓,25.0456618,121.5125395,
爭鮮,N,日式,新北市三重區三和路四段143-1號,25.0781457,121.4820079,
便當店,N,台式,新北市三重區後竹圍街243號1樓,25.0714446,121.481779,
鬍鬚張,N,台式,新北市蘆洲區長榮路77號,25.0837402,121.4597282,
薩莉亞,N,義式,台北市萬華區峨眉街37號2樓,25.0435587,121.5049696,
subway,N,健康餐,新北市三重區福德北路51號 ,25.0652495,121.5000663,
強尼兄弟健康廚房,N,健康餐,台北市中正區羅斯福路四段1號小福樓2樓,25.018516,121.5318283,
全家,Y,便利商店,新北市三重區頂崁街210巷31號1樓,25.0682388,121.4734639,
7-eleven,Y,便利商店,新北市三重區光復路二段146號,25.0602562,121.4697514,
